Age,Attrition,TravelFrequency,DailyRate,Department,Distance,Education,EducationField,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,Role,JobSatisfaction,Marital,MonthlyIncome,MonthlyRate,NumCompanies,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
57,0,Rarely,593,RESEARCH & DEVELOPMENT,1,4,Medical,4,MALE,88,3,2,Healthcare Representative,3,Married,6755,2967,2,No,11,3,3,0,15,2,3,3,2,1,2
40,0,Rarely,1171,RESEARCH & DEVELOPMENT,10,4,Life Sciences,4,FEMALE,46,4,1,Laboratory Technician,3,Married,2213,22495,3,Yes,13,3,3,1,10,3,3,7,7,1,7
21,0,Non-Travel,895,SALES,9,2,Medical,1,MALE,39,3,1,Sales Representative,4,Single,2610,2851,1,No,24,4,3,0,3,3,2,3,2,2,2
33,1,Rarely,350,SALES,5,3,Marketing,4,FEMALE,34,3,1,Sales Representative,3,Single,2851,9150,1,Yes,13,3,2,0,1,2,3,1,0,0,0
37,0,Rarely,921,RESEARCH & DEVELOPMENT,10,3,Medical,3,FEMALE,98,3,1,Laboratory Technician,1,Married,3452,17663,6,No,20,4,2,1,17,3,3,5,4,0,3
46,0,Non-Travel,1144,RESEARCH & DEVELOPMENT,7,4,Medical,3,FEMALE,30,3,2,Manufacturing Director,3,Married,5258,16044,2,No,14,3,3,0,7,2,4,1,0,0,0
41,1,Frequently,143,SALES,4,3,Marketing,1,MALE,56,3,2,Sales Executive,2,Single,9355,9558,1,No,18,3,3,0,8,5,3,8,7,7,7
50,0,Rarely,1046,RESEARCH & DEVELOPMENT,10,3,Technical Degree,4,MALE,100,2,3,Healthcare Representative,4,Single,10496,2755,6,No,15,3,4,0,20,2,3,4,3,1,3
40,1,Rarely,575,SALES,22,2,Marketing,3,MALE,68,2,2,Sales Executive,3,Married,6380,6110,2,Yes,12,3,1,2,8,6,3,6,4,1,0
31,0,Rarely,408,RESEARCH & DEVELOPMENT,9,4,Life Sciences,3,MALE,42,2,1,Research Scientist,2,Single,2657,7551,0,Yes,16,3,4,0,3,5,3,2,2,2,2
21,1,Rarely,156,SALES,12,3,Life Sciences,3,FEMALE,90,4,1,Sales Representative,2,Single,2716,25422,1,No,15,3,4,0,1,0,3,1,0,0,0
29,0,Rarely,1283,RESEARCH & DEVELOPMENT,23,3,Life Sciences,4,MALE,54,3,1,Research Scientist,4,Single,2201,18168,9,No,16,3,4,0,6,4,3,3,2,1,2
35,0,Rarely,755,RESEARCH & DEVELOPMENT,9,4,Life Sciences,3,MALE,97,2,2,Healthcare Representative,2,Single,6540,19394,9,No,19,3,3,0,10,5,3,1,1,0,0
27,0,Rarely,1469,RESEARCH & DEVELOPMENT,1,2,Medical,4,MALE,82,3,1,Laboratory Technician,2,Divorced,3816,17881,1,No,11,3,2,1,5,2,3,5,2,0,4
28,0,Rarely,304,SALES,9,4,Life Sciences,2,MALE,92,3,2,Sales Executive,4,Single,5253,20750,1,No,16,3,4,0,7,1,3,7,5,0,7
49,0,Rarely,1261,RESEARCH & DEVELOPMENT,7,3,Other,2,MALE,31,2,3,Healthcare Representative,3,Single,10965,12066,8,No,24,4,3,0,26,2,3,5,2,0,0
51,0,Rarely,1178,SALES,14,2,Life Sciences,3,FEMALE,87,3,2,Sales Executive,4,Married,4936,14862,4,No,11,3,3,1,18,2,2,7,7,0,7
36,0,Rarely,329,RESEARCH & DEVELOPMENT,2,3,Life Sciences,4,FEMALE,96,3,1,Research Scientist,3,Married,2543,11868,4,No,13,3,2,1,6,3,3,2,2,2,2
34,1,Non-Travel,1362,SALES,19,3,Marketing,1,MALE,67,4,2,Sales Executive,4,Single,5304,4652,8,Yes,13,3,2,0,9,3,2,5,2,0,4
55,0,Rarely,1311,RESEARCH & DEVELOPMENT,2,3,Life Sciences,3,FEMALE,97,3,4,Manager,4,Single,16659,23258,2,Yes,13,3,3,0,30,2,3,5,4,1,2
24,0,Rarely,1371,SALES,10,4,Marketing,4,FEMALE,77,3,2,Sales Executive,3,Divorced,4260,5915,1,Yes,12,3,4,1,5,2,4,5,2,0,3
30,0,Rarely,202,SALES,2,1,Technical Degree,3,MALE,72,3,1,Sales Representative,2,Married,2476,17434,1,No,18,3,1,1,1,3,3,1,0,0,0
26,1,Frequently,575,RESEARCH & DEVELOPMENT,3,1,Technical Degree,3,MALE,73,3,1,Research Scientist,1,Single,3102,6582,0,No,22,4,3,0,7,2,3,6,4,0,4
22,0,Rarely,253,RESEARCH & DEVELOPMENT,11,3,Medical,1,FEMALE,43,3,1,Research Scientist,2,Married,2244,24440,1,No,13,3,4,1,2,1,3,2,1,1,2
36,0,Rarely,164,SALES,2,2,Medical,2,MALE,61,2,3,Sales Executive,3,Married,7596,3809,1,No,13,3,2,2,10,2,3,10,9,9,0
30,1,Frequently,464,RESEARCH & DEVELOPMENT,4,3,Technical Degree,3,MALE,40,3,1,Research Scientist,4,Single,2285,3427,9,Yes,23,4,3,0,3,4,3,1,0,0,0
37,0,Rarely,1107,RESEARCH & DEVELOPMENT,14,3,Life Sciences,4,FEMALE,95,3,1,Laboratory Technician,1,Divorced,3034,26914,1,No,12,3,3,1,18,2,2,18,7,12,17
40,0,Rarely,759,SALES,2,2,Marketing,4,FEMALE,46,3,2,Sales Executive,2,Divorced,5715,22553,7,No,12,3,3,2,8,5,3,5,4,1,3
42,0,Rarely,201,RESEARCH & DEVELOPMENT,1,4,Life Sciences,2,FEMALE,95,3,1,Laboratory Technician,1,Divorced,2576,20490,3,No,16,3,2,1,8,5,3,5,2,1,2
37,0,Rarely,1305,RESEARCH & DEVELOPMENT,10,4,Life Sciences,3,MALE,49,3,2,Manufacturing Director,2,Single,4197,21123,2,Yes,12,3,4,0,18,2,2,1,0,0,1
43,0,Rarely,982,RESEARCH & DEVELOPMENT,12,3,Life Sciences,1,MALE,59,2,4,Research Director,2,Divorced,14336,4345,1,No,11,3,3,1,25,3,3,25,10,3,9
40,0,Rarely,555,RESEARCH & DEVELOPMENT,2,3,Medical,2,FEMALE,78,2,2,Laboratory Technician,3,Married,3448,13436,6,No,22,4,2,1,20,3,3,1,0,0,0
54,0,Rarely,821,RESEARCH & DEVELOPMENT,5,2,Medical,1,MALE,86,3,5,Research Director,1,Married,19406,8509,4,No,11,3,3,1,24,4,2,4,2,1,2
34,0,Non-Travel,1381,SALES,4,4,Marketing,3,FEMALE,72,3,2,Sales Executive,3,Married,6538,12740,9,No,15,3,1,1,6,3,3,3,2,1,2
31,0,Rarely,480,RESEARCH & DEVELOPMENT,7,2,Medical,2,FEMALE,31,3,2,Manufacturing Director,1,Married,4306,4156,1,No,12,3,2,1,13,5,1,13,10,3,12
43,0,Frequently,313,RESEARCH & DEVELOPMENT,21,3,Medical,4,MALE,61,3,1,Laboratory Technician,4,Married,2258,15238,7,No,20,4,1,1,8,1,3,3,2,1,2
43,0,Rarely,1473,RESEARCH & DEVELOPMENT,8,4,Other,3,FEMALE,74,3,2,Healthcare Representative,3,Divorced,4522,2227,4,Yes,14,3,4,0,8,3,3,5,2,0,2
25,0,Rarely,891,SALES,4,2,Life Sciences,2,FEMALE,99,2,2,Sales Executive,4,Single,4487,12090,1,Yes,11,3,2,0,5,3,3,5,4,1,3
37,0,Non-Travel,1063,RESEARCH & DEVELOPMENT,25,5,Medical,2,FEMALE,72,3,2,Research Scientist,3,Married,4449,23866,3,Yes,15,3,1,2,15,2,3,13,11,10,7
31,0,Rarely,329,RESEARCH & DEVELOPMENT,1,2,Life Sciences,4,MALE,98,2,1,Laboratory Technician,1,Married,2218,16193,1,No,12,3,3,1,4,3,3,4,2,3,2
39,0,Frequently,1218,RESEARCH & DEVELOPMENT,1,1,Life Sciences,2,MALE,52,3,5,Manager,3,Divorced,19197,8213,1,Yes,14,3,3,1,21,3,3,21,8,1,6
56,0,Frequently,906,SALES,6,3,Life Sciences,3,FEMALE,86,4,4,Sales Executive,1,Married,13212,18256,9,No,11,3,4,3,36,0,2,7,7,7,7
30,0,Rarely,1082,SALES,12,3,Technical Degree,2,FEMALE,83,3,2,Sales Executive,3,Single,6577,19558,0,No,11,3,2,0,6,6,3,5,4,4,4
41,0,Rarely,645,SALES,1,3,Marketing,2,MALE,49,4,3,Sales Executive,1,Married,8392,19566,1,No,16,3,3,1,10,2,3,10,7,0,7
28,0,Rarely,1300,RESEARCH & DEVELOPMENT,17,2,Medical,3,MALE,79,3,2,Laboratory Technician,1,Divorced,4558,13535,1,No,12,3,4,1,10,2,3,10,0,1,8
25,1,Rarely,688,RESEARCH & DEVELOPMENT,3,3,Medical,1,MALE,91,3,1,Laboratory Technician,1,Married,4031,9396,5,No,13,3,3,1,6,5,3,2,2,0,2
52,0,Rarely,319,RESEARCH & DEVELOPMENT,3,3,Medical,4,MALE,39,2,3,Manufacturing Director,3,Married,7969,19609,2,Yes,14,3,3,0,28,4,3,5,4,0,4
45,0,Rarely,192,RESEARCH & DEVELOPMENT,10,2,Life Sciences,1,MALE,69,3,1,Research Scientist,4,Married,2654,9655,3,No,21,4,4,2,8,3,2,2,2,0,2
52,0,Rarely,1490,RESEARCH & DEVELOPMENT,4,2,Life Sciences,4,FEMALE,30,3,4,Manager,4,Married,16555,10310,2,No,13,3,4,0,31,2,1,5,2,1,4
42,0,Frequently,532,RESEARCH & DEVELOPMENT,29,2,Life Sciences,1,FEMALE,92,3,2,Research Scientist,3,Divorced,4556,12932,2,No,11,3,2,1,19,3,3,5,4,0,2
30,0,Rarely,317,RESEARCH & DEVELOPMENT,2,3,Life Sciences,3,FEMALE,43,1,2,Manufacturing Director,4,Single,6091,24793,2,No,20,4,3,0,11,2,3,5,4,0,2
60,0,Rarely,422,RESEARCH & DEVELOPMENT,7,3,Life Sciences,1,FEMALE,41,3,5,Manager,1,Married,19566,3854,5,No,11,3,4,0,33,5,1,29,8,11,10
46,0,Rarely,1485,RESEARCH & DEVELOPMENT,18,3,Medical,3,FEMALE,87,3,2,Manufacturing Director,3,Divorced,4810,26314,2,No,14,3,3,1,19,5,2,10,7,0,8
42,0,Frequently,1368,RESEARCH & DEVELOPMENT,28,4,Technical Degree,4,FEMALE,88,2,2,Healthcare Representative,4,Married,4523,4386,0,No,11,3,4,3,7,4,4,6,5,0,4
24,1,Rarely,1448,SALES,1,1,Technical Degree,1,FEMALE,62,3,1,Sales Representative,2,Single,3202,21972,1,Yes,16,3,2,0,6,4,3,5,3,1,4
34,1,Frequently,296,SALES,6,2,Marketing,4,FEMALE,33,1,1,Sales Representative,3,Divorced,2351,12253,0,No,16,3,4,1,3,3,2,2,2,1,0
38,0,Frequently,1490,RESEARCH & DEVELOPMENT,2,2,Life Sciences,4,MALE,42,3,1,Laboratory Technician,4,Married,1702,12106,1,Yes,23,4,3,1,1,3,3,1,0,0,0
40,0,Rarely,1398,SALES,2,4,Life Sciences,3,FEMALE,79,3,5,Manager,3,Married,18041,13022,0,No,14,3,4,0,21,2,3,20,15,1,12
26,0,Rarely,1349,RESEARCH & DEVELOPMENT,23,3,Life Sciences,1,FEMALE,90,3,1,Research Scientist,4,Divorced,2886,3032,1,No,22,4,2,2,3,3,1,3,2,0,2
30,0,Non-Travel,1400,RESEARCH & DEVELOPMENT,3,3,Life Sciences,3,MALE,53,3,1,Laboratory Technician,4,Married,2097,16734,4,No,15,3,3,1,9,3,1,5,3,1,4
29,0,Rarely,986,RESEARCH & DEVELOPMENT,3,4,Medical,2,MALE,93,2,3,Research Director,3,Married,11935,21526,1,No,18,3,3,0,10,2,3,10,2,0,7
29,1,Rarely,408,RESEARCH & DEVELOPMENT,25,5,Technical Degree,3,FEMALE,71,2,1,Research Scientist,2,Married,2546,18300,5,No,16,3,2,0,6,2,4,2,2,1,1
19,1,Rarely,489,HUMAN RESOURCES,2,2,Technical Degree,1,MALE,52,2,1,Human Resources,4,Single,2564,18437,1,No,12,3,3,0,1,3,4,1,0,0,0
30,0,Non-Travel,1398,SALES,22,4,Other,3,FEMALE,69,3,3,Sales Executive,1,Married,8412,2890,0,No,11,3,3,0,10,3,3,9,8,7,8
57,0,Rarely,210,SALES,29,3,Marketing,1,MALE,56,2,4,Manager,4,Divorced,14118,22102,3,No,12,3,3,1,32,3,2,1,0,0,0
50,0,Rarely,1099,RESEARCH & DEVELOPMENT,29,4,Life Sciences,2,MALE,88,2,4,Manager,3,Married,17046,9314,0,No,15,3,2,1,28,2,3,27,10,15,7
30,0,Non-Travel,1116,RESEARCH & DEVELOPMENT,2,3,Medical,3,FEMALE,49,3,1,Laboratory Technician,4,Single,2564,7181,0,No,14,3,3,0,12,2,2,11,7,6,7
60,0,Frequently,1499,SALES,28,3,Marketing,3,FEMALE,80,2,3,Sales Executive,1,Married,10266,2845,4,No,19,3,4,0,22,5,4,18,13,13,11
47,0,Rarely,983,RESEARCH & DEVELOPMENT,2,2,Medical,1,FEMALE,65,3,2,Manufacturing Director,4,Divorced,5070,7389,5,No,13,3,3,3,20,2,3,5,0,0,4
46,0,Rarely,1009,RESEARCH & DEVELOPMENT,2,3,Life Sciences,1,MALE,51,3,4,Research Director,3,Married,17861,2288,6,No,13,3,3,0,26,2,1,3,2,0,1
35,0,Rarely,144,RESEARCH & DEVELOPMENT,22,3,Life Sciences,4,MALE,46,1,1,Laboratory Technician,3,Single,4230,19225,0,No,15,3,3,0,6,2,3,5,4,4,3
54,0,Rarely,548,RESEARCH & DEVELOPMENT,8,4,Life Sciences,3,FEMALE,42,3,2,Laboratory Technician,3,Single,3780,23428,7,No,11,3,3,0,19,3,3,1,0,0,0
34,0,Rarely,1303,RESEARCH & DEVELOPMENT,2,4,Life Sciences,4,MALE,62,2,1,Research Scientist,3,Divorced,2768,8416,3,No,12,3,3,1,14,3,3,7,3,5,7
46,0,Rarely,1125,SALES,10,3,Marketing,3,FEMALE,94,2,3,Sales Executive,4,Married,9071,11563,2,Yes,19,3,3,1,15,3,3,3,2,1,2
31,0,Rarely,1274,RESEARCH & DEVELOPMENT,9,1,Life Sciences,3,MALE,33,3,3,Manufacturing Director,2,Divorced,10648,14394,1,No,25,4,4,1,13,6,4,13,8,0,8
33,1,Rarely,1277,RESEARCH & DEVELOPMENT,15,1,Medical,2,MALE,56,3,3,Manager,3,Married,13610,24619,7,Yes,12,3,4,0,15,2,4,7,6,7,7
33,1,Rarely,587,RESEARCH & DEVELOPMENT,10,1,Medical,1,MALE,38,1,1,Laboratory Technician,4,Divorced,3408,6705,7,No,13,3,1,3,8,2,3,4,3,1,3
30,0,Rarely,413,SALES,7,1,Marketing,4,MALE,57,3,1,Sales Representative,2,Single,2983,18398,0,No,14,3,1,0,4,3,3,3,2,1,2
35,0,Rarely,1276,RESEARCH & DEVELOPMENT,16,3,Life Sciences,4,MALE,72,3,3,Healthcare Representative,3,Married,7632,14295,4,Yes,12,3,3,0,10,2,3,8,7,0,0
31,1,Frequently,534,RESEARCH & DEVELOPMENT,20,3,Life Sciences,1,MALE,66,3,3,Healthcare Representative,3,Married,9824,22908,3,No,12,3,1,0,12,2,3,1,0,0,0
34,1,Frequently,988,HUMAN RESOURCES,23,3,Human Resources,2,FEMALE,43,3,3,Human Resources,1,Divorced,9950,11533,9,Yes,15,3,3,3,11,2,3,3,2,0,2
42,0,Frequently,1474,RESEARCH & DEVELOPMENT,5,2,Other,2,MALE,97,3,1,Laboratory Technician,3,Married,2093,9260,4,No,17,3,4,1,8,4,3,2,2,2,0
36,0,Non-Travel,635,SALES,10,4,Medical,2,MALE,32,3,3,Sales Executive,4,Single,9980,15318,1,No,14,3,4,0,10,3,2,10,3,9,7
22,1,Frequently,1368,RESEARCH & DEVELOPMENT,4,1,Technical Degree,3,MALE,99,2,1,Laboratory Technician,3,Single,3894,9129,5,No,16,3,3,0,4,3,3,2,2,1,2
48,0,Rarely,163,SALES,2,5,Marketing,2,FEMALE,37,3,2,Sales Executive,4,Married,4051,19658,2,No,14,3,1,1,14,2,3,9,7,6,7
55,0,Rarely,1117,SALES,18,5,Life Sciences,1,FEMALE,83,3,4,Manager,2,Single,16835,9873,3,No,23,4,4,0,37,2,3,10,9,7,7
41,0,Non-Travel,267,SALES,10,2,Life Sciences,4,MALE,56,3,2,Sales Executive,4,Single,6230,13430,7,No,14,3,4,0,16,3,3,14,3,1,10
35,0,Rarely,619,SALES,1,3,Marketing,2,MALE,85,3,2,Sales Executive,3,Married,4717,18659,9,No,11,3,3,0,15,2,3,11,9,6,9
40,0,Rarely,302,RESEARCH & DEVELOPMENT,6,3,Life Sciences,2,FEMALE,75,3,4,Manufacturing Director,3,Single,13237,20364,7,No,15,3,3,0,22,3,3,20,6,5,13
39,0,Frequently,443,RESEARCH & DEVELOPMENT,8,1,Life Sciences,3,FEMALE,48,3,1,Laboratory Technician,3,Married,3755,17872,1,No,11,3,1,1,8,3,3,8,3,0,7
31,0,Rarely,828,SALES,2,1,Life Sciences,2,MALE,77,3,2,Sales Executive,4,Single,6582,8346,4,Yes,13,3,3,0,10,2,4,6,5,0,5
42,0,Rarely,319,RESEARCH & DEVELOPMENT,24,3,Medical,4,MALE,56,3,3,Manufacturing Director,1,Married,7406,6950,1,Yes,21,4,4,1,10,5,2,10,9,5,8
45,0,Rarely,561,SALES,2,3,Other,4,MALE,61,3,2,Sales Executive,2,Married,4805,16177,0,No,19,3,2,1,9,3,4,8,7,3,7
26,1,Frequently,426,HUMAN RESOURCES,17,4,Life Sciences,2,FEMALE,58,3,1,Human Resources,3,Divorced,2741,22808,0,Yes,11,3,2,1,8,2,2,7,7,1,0
29,0,Rarely,232,RESEARCH & DEVELOPMENT,19,3,Technical Degree,4,MALE,34,3,2,Manufacturing Director,4,Divorced,4262,22645,4,No,12,3,2,2,8,2,4,3,2,1,2
33,0,Rarely,922,RESEARCH & DEVELOPMENT,1,5,Medical,1,FEMALE,95,4,4,Research Director,3,Divorced,16184,22578,4,No,19,3,3,1,10,2,3,6,1,0,5
31,0,Rarely,688,SALES,7,3,Life Sciences,3,MALE,44,2,3,Manager,4,Divorced,11557,25291,9,No,21,4,3,1,10,3,2,5,4,0,1
18,1,Frequently,1306,SALES,5,3,Marketing,2,MALE,69,3,1,Sales Representative,2,Single,1878,8059,1,Yes,14,3,4,0,0,3,3,0,0,0,0
40,0,Non-Travel,1094,SALES,28,3,Other,3,MALE,58,1,3,Sales Executive,1,Divorced,10932,11373,3,No,15,3,3,1,20,2,3,1,0,0,1
41,0,Non-Travel,509,RESEARCH & DEVELOPMENT,2,4,Other,1,FEMALE,62,2,2,Healthcare Representative,3,Single,6811,2112,2,Yes,17,3,1,0,10,3,3,8,7,0,7
26,0,Rarely,775,SALES,29,2,Medical,1,MALE,45,3,2,Sales Executive,3,Divorced,4306,4267,5,No,12,3,1,2,8,5,3,0,0,0,0
35,0,Rarely,195,SALES,1,3,Medical,1,FEMALE,80,3,2,Sales Executive,3,Single,4859,6698,1,No,16,3,4,0,5,3,3,5,4,0,3
34,0,Rarely,258,SALES,21,4,Life Sciences,4,MALE,74,4,2,Sales Executive,4,Single,5337,19921,1,No,12,3,4,0,10,3,3,10,7,5,7
26,1,Rarely,471,RESEARCH & DEVELOPMENT,24,3,Technical Degree,3,MALE,66,1,1,Laboratory Technician,4,Single,2340,23213,1,Yes,18,3,2,0,1,3,1,1,0,0,0
37,0,Rarely,799,RESEARCH & DEVELOPMENT,1,3,Technical Degree,2,FEMALE,59,3,3,Manufacturing Director,4,Single,7491,23848,4,No,17,3,4,0,12,3,4,6,5,1,2
46,0,Frequently,1034,RESEARCH & DEVELOPMENT,18,1,Medical,1,FEMALE,86,3,3,Healthcare Representative,3,Married,10527,8984,5,No,11,3,4,0,28,3,2,2,2,1,2
41,0,Rarely,1276,SALES,2,5,Life Sciences,2,FEMALE,91,3,4,Manager,1,Married,16595,5626,7,No,16,3,2,1,22,2,3,18,16,11,8
37,0,Non-Travel,142,SALES,9,4,Medical,1,MALE,69,3,3,Sales Executive,2,Divorced,8834,24666,1,No,13,3,4,1,9,6,3,9,5,7,7
52,0,Rarely,956,RESEARCH & DEVELOPMENT,6,2,Technical Degree,4,MALE,78,3,2,Research Scientist,1,Divorced,5577,22087,3,Yes,12,3,2,2,18,3,3,10,9,6,9
32,1,Non-Travel,1474,SALES,11,4,Other,4,MALE,60,4,2,Sales Executive,3,Married,4707,23914,8,No,12,3,4,0,6,2,3,4,2,1,2
24,0,Frequently,535,SALES,24,3,Medical,4,MALE,38,3,1,Sales Representative,4,Married,2400,5530,0,No,13,3,3,2,3,3,3,2,2,2,1
38,0,Rarely,1495,RESEARCH & DEVELOPMENT,10,3,Medical,3,FEMALE,76,3,2,Healthcare Representative,3,Married,9824,22174,3,No,19,3,3,1,18,4,3,1,0,0,0
37,0,Rarely,446,RESEARCH & DEVELOPMENT,1,4,Life Sciences,2,FEMALE,65,3,2,Manufacturing Director,2,Married,6447,15701,6,No,12,3,2,1,8,2,2,6,5,4,3
49,0,Rarely,1245,RESEARCH & DEVELOPMENT,18,4,Life Sciences,4,MALE,58,2,5,Research Director,3,Divorced,19502,2125,1,Yes,17,3,3,1,31,5,3,31,9,0,9
24,0,Rarely,691,RESEARCH & DEVELOPMENT,23,3,Medical,2,MALE,89,4,1,Research Scientist,4,Married,2725,21630,1,Yes,11,3,2,2,6,3,3,6,5,1,4
26,0,Rarely,703,SALES,28,2,Marketing,1,MALE,66,3,2,Sales Executive,2,Married,6272,7428,1,No,20,4,4,2,6,5,4,5,3,1,4
24,0,Rarely,823,RESEARCH & DEVELOPMENT,17,2,Other,4,MALE,94,2,1,Laboratory Technician,2,Married,2127,9100,1,No,21,4,4,1,1,2,3,1,0,0,0
50,0,Frequently,1246,HUMAN RESOURCES,3,3,Medical,1,MALE,99,3,5,Manager,2,Married,18200,7999,1,No,11,3,3,1,32,2,3,32,5,10,7
25,0,Rarely,622,SALES,13,1,Medical,2,MALE,40,3,1,Sales Representative,3,Married,2096,26376,1,No,11,3,3,0,7,1,3,7,4,0,6
24,1,Frequently,1287,RESEARCH & DEVELOPMENT,7,3,Life Sciences,1,FEMALE,55,3,1,Laboratory Technician,3,Married,2886,14168,1,Yes,16,3,4,1,6,4,3,6,3,1,2
30,1,Frequently,448,SALES,12,4,Life Sciences,2,MALE,74,2,1,Sales Representative,1,Married,2033,14470,1,No,18,3,3,1,1,2,4,1,0,0,0
34,0,Rarely,254,RESEARCH & DEVELOPMENT,1,2,Life Sciences,2,MALE,83,2,1,Research Scientist,4,Married,3622,22794,1,Yes,13,3,4,1,6,3,3,6,5,1,3
31,1,Rarely,1365,SALES,13,4,Medical,2,MALE,46,3,2,Sales Executive,1,Divorced,4233,11512,2,No,17,3,3,0,9,2,1,3,1,1,2
35,0,Rarely,538,RESEARCH & DEVELOPMENT,25,2,Other,1,MALE,54,2,2,Laboratory Technician,4,Single,3681,14004,4,No,14,3,4,0,9,3,3,3,2,0,2
31,0,Rarely,525,SALES,6,4,Medical,1,MALE,66,4,2,Sales Executive,4,Divorced,5460,6219,4,No,22,4,4,2,13,4,4,7,7,5,7
27,0,Rarely,798,RESEARCH & DEVELOPMENT,6,4,Medical,1,FEMALE,66,2,1,Research Scientist,3,Divorced,2187,5013,0,No,12,3,3,2,6,5,2,5,3,0,3
37,0,Rarely,558,SALES,2,3,Marketing,4,MALE,75,3,2,Sales Executive,3,Married,9602,3010,4,Yes,11,3,3,1,17,3,2,3,0,1,0
20,0,Rarely,959,RESEARCH & DEVELOPMENT,1,3,Life Sciences,4,FEMALE,83,2,1,Research Scientist,2,Single,2836,11757,1,No,13,3,4,0,1,0,4,1,0,0,0
42,0,Rarely,622,RESEARCH & DEVELOPMENT,2,4,Life Sciences,3,FEMALE,81,3,2,Healthcare Representative,4,Married,4089,5718,1,No,13,3,2,2,10,4,3,10,2,2,2
43,0,Rarely,782,RESEARCH & DEVELOPMENT,6,4,Other,2,MALE,50,2,4,Research Director,4,Divorced,16627,2671,4,Yes,14,3,3,1,21,3,2,1,0,0,0
38,0,Rarely,362,RESEARCH & DEVELOPMENT,1,1,Life Sciences,3,FEMALE,43,3,1,Research Scientist,1,Single,2619,14561,3,No,17,3,4,0,8,3,2,0,0,0,0
43,0,Frequently,1001,RESEARCH & DEVELOPMENT,9,5,Medical,4,MALE,72,3,2,Laboratory Technician,3,Divorced,5679,19627,3,Yes,13,3,2,1,10,3,3,8,7,4,7
48,0,Rarely,1236,RESEARCH & DEVELOPMENT,1,4,Life Sciences,4,FEMALE,40,2,4,Manager,1,Married,15402,17997,7,No,11,3,1,1,21,3,1,3,2,0,2
44,0,Rarely,1112,HUMAN RESOURCES,1,4,Life Sciences,1,FEMALE,50,2,2,Human Resources,3,Single,5985,26894,4,No,11,3,2,0,10,1,4,2,2,0,2
34,0,Rarely,204,SALES,14,3,Technical Degree,3,FEMALE,31,3,1,Sales Representative,3,Divorced,2579,2912,1,Yes,18,3,4,2,8,3,3,8,2,0,6
27,1,Rarely,1420,SALES,2,1,Marketing,3,MALE,85,3,1,Sales Representative,1,Divorced,3041,16346,0,No,11,3,2,1,5,3,3,4,3,0,2
21,0,Rarely,1343,SALES,22,1,Technical Degree,3,MALE,49,3,1,Sales Representative,3,Single,3447,24444,1,No,11,3,3,0,3,2,3,3,2,1,2
44,0,Rarely,1315,RESEARCH & DEVELOPMENT,3,4,Other,4,MALE,35,3,5,Manager,4,Married,19513,9358,4,Yes,12,3,1,1,26,2,4,2,2,0,1
22,0,Rarely,604,RESEARCH & DEVELOPMENT,6,1,Medical,1,MALE,69,3,1,Research Scientist,3,Married,2773,12145,0,No,20,4,4,0,3,3,3,2,2,2,2
33,0,Rarely,1216,SALES,8,4,Marketing,3,MALE,39,3,2,Sales Executive,3,Divorced,7104,20431,0,No,12,3,4,0,6,3,3,5,0,1,2
32,0,Rarely,646,RESEARCH & DEVELOPMENT,9,4,Life Sciences,1,FEMALE,92,3,2,Research Scientist,4,Married,6322,18089,1,Yes,12,3,4,1,6,2,2,6,4,0,5
30,0,Frequently,160,RESEARCH & DEVELOPMENT,3,3,Medical,3,FEMALE,71,3,1,Research Scientist,3,Divorced,2083,22653,1,No,20,4,3,1,1,2,3,1,0,0,0
53,0,Rarely,238,SALES,1,1,Medical,4,FEMALE,34,3,2,Sales Executive,1,Single,8381,7507,7,No,20,4,4,0,18,2,4,14,7,8,10
34,0,Rarely,1397,RESEARCH & DEVELOPMENT,1,5,Life Sciences,2,MALE,42,3,1,Research Scientist,4,Married,2691,7660,1,No,12,3,4,1,10,4,2,10,9,8,8
45,1,Frequently,306,SALES,26,4,Life Sciences,1,FEMALE,100,3,2,Sales Executive,1,Married,4286,5630,2,No,14,3,4,2,5,4,3,1,1,0,0
26,0,Rarely,991,RESEARCH & DEVELOPMENT,6,3,Life Sciences,3,FEMALE,71,3,1,Laboratory Technician,4,Married,2659,17759,1,Yes,13,3,3,1,3,2,3,3,2,0,2
37,0,Rarely,482,RESEARCH & DEVELOPMENT,3,3,Other,3,MALE,36,3,3,Manufacturing Director,3,Married,9434,9606,1,No,15,3,3,1,10,2,3,10,7,7,8
29,0,Rarely,1176,SALES,3,2,Medical,2,FEMALE,62,3,2,Sales Executive,3,Married,5561,3487,1,No,14,3,1,1,6,5,2,6,0,1,2
35,0,Rarely,1017,RESEARCH & DEVELOPMENT,6,4,Life Sciences,2,MALE,82,1,2,Research Scientist,4,Single,6646,19368,1,No,13,3,2,0,17,3,3,17,11,11,8
33,0,Frequently,1296,RESEARCH & DEVELOPMENT,6,3,Life Sciences,3,MALE,30,3,2,Healthcare Representative,4,Divorced,7725,5335,3,No,23,4,3,1,15,2,1,13,11,4,7
